library	num_callers	calls_per_caller	context	reductions	good	bad	run_queue	message_queues	min_time	avg_time	max_time
pt_baseline_sup	5	1000	60974	64301015	5000	0	1	4	5163	25968	29162
pt_baseline_sup	10	1000	122074	128955703	10000	0	1	9	5994	55992	59055
pt_baseline_sup	15	1000	183014	193663309	15000	0	1	14	6003	85975	96054
pt_baseline_sup	20	1000	244052	258675712	20000	0	1	19	5998	115969	119081
pt_baseline_sup	25	1000	305091	324002444	25000	0	1	24	6039	145956	151111
pt_baseline_sup	30	1000	366131	389419194	30000	0	1	29	5945	175952	185481
pt_baseline_sup	35	1000	427127	455633347	35000	0	1	34	6022	206058	214090
pt_baseline_sup	40	1000	488157	521591920	40000	0	2	39	6004	236032	242186
pt_baseline_sup	45	1000	549199	587710988	45000	0	1	44	5765	265895	269155
pt_baseline_sup	50	1000	610225	654249487	50000	0	1	49	6007	295881	303137
