library	num_callers	calls_per_caller	context	reductions	good	bad	run_queue	message_queues	min_time	avg_time	max_time
pt_dispcount_sup	5	1000	44305	21720821	4357	643	4	1	1	5247	7260
pt_dispcount_sup	10	1000	66707	20354433	7436	2564	6	1	1	4480	8019
pt_dispcount_sup	15	1000	83405	19323941	9522	5478	8	1	1	3831	8739
pt_dispcount_sup	20	1000	95561	18595789	10814	9186	9	2	1	3272	8369
pt_dispcount_sup	25	1000	104422	17785478	11563	13437	10	1	0	2803	7560
pt_dispcount_sup	30	1000	112824	17123070	12219	17781	12	1	0	2458	7246
pt_dispcount_sup	35	1000	119178	16485740	12529	22471	12	1	0	2160	7089
pt_dispcount_sup	40	1000	125368	16418214	12751	27249	13	2	0	1923	8566
pt_dispcount_sup	45	1000	130930	15967781	12910	32090	19	1	0	1731	7096
pt_dispcount_sup	50	1000	136429	16013391	13002	36998	14	1	0	1572	8624
