library	num_callers	calls_per_caller	context	reductions	good	bad	run_queue	message_queues	min_time	avg_time	max_time
pt_gproc_sup	5	1000	108636	161047340	5000	0	5	5	5437	6048	7616
pt_gproc_sup	10	1000	141066	185921244	10000	0	8	6	5418	6036	8521
pt_gproc_sup	15	1000	173917	209721544	15000	0	8	6	5143	6028	7655
pt_gproc_sup	20	1000	205705	234883653	20000	0	10	6	5138	6033	7135
pt_gproc_sup	25	1000	232934	255180252	24152	848	12	7	3	5834	7120
pt_gproc_sup	30	1000	235769	252962218	24337	5663	13	7	3	4908	7342
pt_gproc_sup	35	1000	231324	245177394	22452	12548	17	11	0	3892	7892
pt_gproc_sup	40	1000	230414	244562715	20988	19012	17	18	3	3189	10810
pt_gproc_sup	45	1000	232148	244782293	19808	25192	17	12	3	2680	7590
pt_gproc_sup	50	1000	232623	244345467	18638	31362	18	10	0	2269	7124
