library	num_callers	calls_per_caller	context	reductions	good	bad	run_queue	message_queues	min_time	avg_time	max_time
pt_gsp_sup	5	1000	61853	54560430	5000	0	5	2	5126	6029	7380
pt_gsp_sup	10	1000	84754	55224040	10000	0	10	2	5060	6031	9099
pt_gsp_sup	15	1000	107149	55723610	15000	0	10	1	5356	6025	8041
pt_gsp_sup	20	1000	128315	56158977	20000	0	13	2	5189	6028	8063
pt_gsp_sup	25	1000	148470	56217650	24538	462	14	1	17	5922	7772
pt_gsp_sup	30	1000	165220	53037426	25454	4546	18	5	11	5136	7565
pt_gsp_sup	35	1000	181721	49633648	24623	10377	12	18	9	4265	7700
pt_gsp_sup	40	1000	197592	46236918	22648	17352	15	6	7	3443	6842
pt_gsp_sup	45	1000	214397	44091451	21174	23826	15	10	7	2881	8617
pt_gsp_sup	50	1000	232794	43071075	20312	29688	17	7	8	2497	6851
