library	num_callers	calls_per_caller	context	reductions	good	bad	run_queue	message_queues	min_time	avg_time	max_time
pt_poolboy_sup	5	1000	67976	54348129	5000	0	5	2	5425	6028	7351
pt_poolboy_sup	10	1000	97764	55041731	10000	0	9	3	5290	6026	11084
pt_poolboy_sup	15	1000	126427	55644787	15000	0	8	4	5063	6020	8051
pt_poolboy_sup	20	1000	153683	55927846	20000	0	10	4	5282	6020	8070
pt_poolboy_sup	25	1000	177187	55822601	24315	685	12	2	2	5864	7508
pt_poolboy_sup	30	1000	183823	51339226	24600	5400	13	6	2	4947	7073
pt_poolboy_sup	35	1000	182904	45871527	22706	12294	13	2	2	3924	7740
pt_poolboy_sup	40	1000	183096	42445367	20918	19082	30	9	2	3187	10327
pt_poolboy_sup	45	1000	186263	40077643	19632	25368	17	5	2	2688	7472
pt_poolboy_sup	50	1000	192012	38920300	18939	31061	20	6	2	2334	11140
