library	num_callers	calls_per_caller	context	reductions	good	bad	run_queue	message_queues	min_time	avg_time	max_time
pt_pooler_sup	5	1000	88428	81414512	5000	0	5	6	5217	6090	7426
pt_pooler_sup	10	1000	128928	94141587	10000	0	7	5	5411	6046	9169
pt_pooler_sup	15	1000	167177	107178384	15000	0	7	4	5648	6044	7278
pt_pooler_sup	20	1000	203493	119410169	20000	0	10	4	5254	6047	6876
pt_pooler_sup	25	1000	240121	131796205	24901	99	11	9	965	6032	7878
pt_pooler_sup	30	1000	264373	139362509	27795	2205	11	9	742	5688	6770
pt_pooler_sup	35	1000	275448	142398525	27883	7117	13	11	825	5038	8017
pt_pooler_sup	40	1000	282563	144996963	27181	12819	15	11	336	4463	7781
pt_pooler_sup	45	1000	287816	145869655	26062	18938	16	10	461	3950	7345
pt_pooler_sup	50	1000	294272	151283100	25005	24995	18	13	606	3560	7320
